mdm_id,send_dt,send_dttm,message_class,sysdate_dt,sysdate_dttm
4e527c5f-5021-4234-acd2-a6a4e49ee89b,2024-05-04,2023-08-24 02:35:08,push,2024-07-09,2024-07-09 03:00:07
07bae9b0-567f-4574-bd65-6ad69faa3582,2024-04-11,2023-10-08 04:51:10,sms,2024-07-09,2024-07-09 03:00:07
109eab48-c54e-4e29-ba5f-d6691794bf37,2023-11-09,2023-10-02 06:39:10,push,2024-07-09,2024-07-09 03:00:07
49d96433-3ac9-4fc7-a811-8dcf63bd15df,2024-02-09,2023-09-11 07:49:09,push,2024-07-09,2024-07-09 03:00:07
08b3b207-105e-413e-8e46-45c098d931bf,2024-05-12,2023-07-13 12:32:07,push,2024-07-09,2024-07-09 03:00:07
99eb3e26-89da-412d-a38c-b869cc80efc3,2024-03-14,2023-09-01 08:02:09,push,2024-07-09,2024-07-09 03:00:07
8e9760ad-da1a-4aff-b66f-8e6fa5148965,2023-08-14,2024-05-05 01:44:05,push,2024-07-09,2024-07-09 03:00:07
c0d7fa11-c668-431c-a901-78ea318d5b2b,2023-07-31,2024-02-20 01:56:02,push,2024-07-09,2024-07-09 03:00:07
13098db7-c3e8-4c24-abf1-0874cf4f2a5a,2024-07-06,2023-09-11 07:29:09,push,2024-07-09,2024-07-09 03:00:07
161cf875-c944-46dc-ad69-067998ed4138,2024-01-31,2024-01-25 05:57:01,sms,2024-07-09,2024-07-09 03:00:07
326e0f43-6a9b-4ccf-9ca2-494420934cfc,2023-12-29,2023-09-18 10:32:09,push,2024-07-09,2024-07-09 03:00:07
3482c4f3-7148-4a47-8829-7d457cddfd3d,2024-05-31,2024-05-23 11:41:05,sms,2024-07-09,2024-07-09 03:00:07
6191e7f9-75c9-4db1-a9c3-a786720720d2,2023-12-01,2024-03-11 11:15:03,push,2024-07-09,2024-07-09 03:00:07
72fd7c25-0ca1-4da5-a9fe-66f8895d3620,2024-03-26,2024-05-21 10:04:05,push,2024-07-09,2024-07-09 03:00:07
65ea8bde-8d50-4c28-921e-c0978922c775,2023-10-05,2023-11-20 10:48:11,sms,2024-07-09,2024-07-09 03:00:07
c0c99c40-78a9-4c9d-b73b-402bfbead84f,2024-02-27,2023-12-21 10:02:12,push,2024-07-09,2024-07-09 03:00:07
98b80e06-0bfb-4a0f-a2d3-4f9851d706ae,2024-06-08,2023-11-11 03:00:11,push,2024-07-09,2024-07-09 03:00:07
f95cfa14-7c10-4ef4-8e14-2d0da4b6ec7e,2024-03-29,2023-11-23 07:24:11,push,2024-07-09,2024-07-09 03:00:07
2f01bb7b-d8f9-4ce9-a662-ec27e6005ba8,2024-04-20,2023-09-14 06:30:09,push,2024-07-09,2024-07-09 03:00:07
4873c9da-8ca7-413f-8f37-65f9fd046d9a,2023-08-16,2024-04-12 11:11:04,push,2024-07-09,2024-07-09 03:00:07
04a6a16a-5e77-4857-8bff-cc78a3a2d355,2023-08-03,2023-12-10 02:51:12,sms,2024-07-09,2024-07-09 03:00:07
822447f3-9429-4177-8bf5-7e379b54ad1c,2024-01-11,2023-08-05 02:24:08,sms,2024-07-09,2024-07-09 03:00:07
1fa937b9-ecbf-4a42-bb4b-00421943f37f,2024-02-05,2023-07-04 12:49:07,sms,2024-07-09,2024-07-09 03:00:07
20a09aa2-b3f7-4bf4-8c2e-4dd1c1df7487,2023-07-30,2024-04-13 07:24:04,push,2024-07-09,2024-07-09 03:00:07
8d16b978-b3b2-48eb-a39c-54ffd152957b,2024-06-24,2023-08-03 05:47:08,sms,2024-07-09,2024-07-09 03:00:07
8b0dfb8e-7238-4c9b-aebe-4fa2189bcb8d,2023-09-22,2023-09-25 11:16:09,sms,2024-07-09,2024-07-09 03:00:07
9e9279be-a86b-47f3-b138-8fab9f38f2a6,2023-12-12,2024-03-04 10:31:03,push,2024-07-09,2024-07-09 03:00:07
60570b98-2859-4c66-87c1-e1e5c8aee7f9,2024-01-03,2024-04-05 05:24:04,sms,2024-07-09,2024-07-09 03:00:07
0443fa2e-fed5-4d78-b023-57535622e54a,2024-04-24,2023-07-25 11:06:07,sms,2024-07-09,2024-07-09 03:00:07
bb90e046-2391-4687-bd08-45ccf1aa9052,2024-06-18,2024-06-09 03:41:06,push,2024-07-09,2024-07-09 03:00:07
266f1bda-e189-4950-8da8-83e02492847e,2023-12-12,2024-03-17 09:10:03,push,2024-07-09,2024-07-09 03:00:07
d21dd23f-d35c-4741-a767-c7f2abe83d03,2023-11-01,2024-03-15 07:43:03,push,2024-07-09,2024-07-09 03:00:07
cecc3aeb-2433-47e4-8ed1-37810b519f26,2024-06-10,2024-03-05 05:28:03,push,2024-07-09,2024-07-09 03:00:07
e3e9b2c1-3623-45f5-aeb8-72bf1fb766ce,2024-02-02,2023-09-27 01:51:09,push,2024-07-09,2024-07-09 03:00:07
206fdb8a-5540-43a5-b271-1faa8bfa6345,2024-07-03,2024-03-15 11:09:03,sms,2024-07-09,2024-07-09 03:00:07
4a70be61-22cd-422d-b85a-8c0ca40e0a99,2023-10-12,2023-08-17 09:58:08,sms,2024-07-09,2024-07-09 03:00:07
1ce4c8d9-5f30-4f07-9527-2802773efab9,2024-06-24,2024-04-24 04:47:04,push,2024-07-09,2024-07-09 03:00:07
b57762bd-ac2d-4ce6-8fac-ee650db5ddd4,2024-01-06,2023-12-01 05:45:12,push,2024-07-09,2024-07-09 03:00:07
d7308bf5-1f95-4282-9696-3b8925d469ba,2024-06-22,2024-05-29 07:05:05,push,2024-07-09,2024-07-09 03:00:07
cc082a88-5ef7-4845-8082-37b61bacfe8a,2024-04-21,2023-12-05 12:03:12,sms,2024-07-09,2024-07-09 03:00:07
9207ff93-3285-4a89-91c4-98760cc82f55,2024-01-06,2024-04-20 10:27:04,push,2024-07-09,2024-07-09 03:00:07
273d93e2-eacd-4ace-8054-277a4695bf54,2024-04-29,2024-02-16 08:47:02,sms,2024-07-09,2024-07-09 03:00:07
75e5d8fc-50e9-4b04-a93a-a5e445e74079,2024-04-29,2023-08-19 12:23:08,sms,2024-07-09,2024-07-09 03:00:07
832886a4-e483-405f-bc4b-752cf67d21c7,2023-07-02,2024-07-01 03:13:07,sms,2024-07-09,2024-07-09 03:00:07
804b0cb6-6816-46fb-b1e0-48025e34ee34,2023-08-07,2024-06-04 07:35:06,sms,2024-07-09,2024-07-09 03:00:07
