jobTitle,company,location,companyReviews,link,link_parameters
"Principal Machine Learning Scientist, Digital Practice",Nordstrom,"Seattle, WA",6095,https://www.indeed.com/jobs?q=Tensor+Flow&start=70['/rc/clk?jk=20500e4e0c88976f&fccid=68ce5c21322a81a4'],'/rc/clk?jk=20500e4e0c88976f&fccid=68ce5c21322a81a4'
Sr. Business Intelligence Analyst,Amazon.com,Luxembourg,19881,http://www.indeed.lu/jobs?q=Data+Analysis&start=50['/rc/clk?jk=8f8e6e56d775c6dd&fccid=fe2d21eef233e94a'],'/rc/clk?jk=8f8e6e56d775c6dd&fccid=fe2d21eef233e94a'
Business Analyst – Commercial Information Management,MSD,Singapore,371,http://www.indeed.com.sg/jobs?q=Big+Data&start=140['/rc/clk?jk=d10a1c64ced216de&fccid=3c0bf511b4a29309'],'/rc/clk?jk=d10a1c64ced216de&fccid=3c0bf511b4a29309'
AML Operations Analyst,Citi,Central Singapore,11580,http://www.indeed.com.sg/jobs?q=Data+Analysis&start=130['/rc/clk?jk=241ebe03f4740bfe&fccid=5bcd1ef0a7f4fb99'],'/rc/clk?jk=241ebe03f4740bfe&fccid=5bcd1ef0a7f4fb99'
SCM Analyst,Eaton,Türkiye,2688,http://tr.indeed.com/jobs?q=Data+Analysis&start=60['/rc/clk?jk=20080455bfdf6f6c&fccid=87f38351bd29de24'],'/rc/clk?jk=20080455bfdf6f6c&fccid=87f38351bd29de24'
Error Proofing Engineer,EATON,"Santa Fe, D. F.",2688,http://www.indeed.com.mx/trabajo?q=Machine+learning&start=20['/rc/clk?jk=9efd925fc095f34b&fccid=87f38351bd29de24'],'/rc/clk?jk=9efd925fc095f34b&fccid=87f38351bd29de24'
"Production Engineer - Digitalization Implementation, Soda Plant",Solvay,"Rosignano Marittimo, Toscana",179,http://it.indeed.com/offerte-lavoro?q=Big+Data&start=90['/rc/clk?jk=9d02c59b15c53236&fccid=2aa521071b572e0a'],'/rc/clk?jk=9d02c59b15c53236&fccid=2aa521071b572e0a'
Data Visualization and UI/UX Engineer,Apple,"Santa Clara Valley, CA",4517,https://www.indeed.com/jobs?q=Machine+learning&start=130['/rc/clk?jk=55ae06b608914611&fccid=c1099851e9794854'],'/rc/clk?jk=55ae06b608914611&fccid=c1099851e9794854'
Android Developer,Britehouse,"Bryanston, Gauteng",5,http://www.indeed.co.za/jobs?q=Data+Science&start=140['/rc/clk?jk=4bc89c5ec4aab371&fccid=152e270b544ecc73'],'/rc/clk?jk=4bc89c5ec4aab371&fccid=152e270b544ecc73'
Senior Digital Analyst,Gloo@Ogilvy,"Woodstock, Western Cape",2,http://www.indeed.co.za/jobs?q=Python+Data&start=90['/rc/clk?jk=2fc44d3368de3d7a&fccid=0cbb9b3c6401f1ca'],'/rc/clk?jk=2fc44d3368de3d7a&fccid=0cbb9b3c6401f1ca'
Engineers,Taylor&FrancisGroup,Karachi,14,http://www.indeed.com.pk/jobs?q=Artificial+Intelligence&start=30['/rc/clk?jk=52742d507fd761e7&fccid=0a5e503bae42b78f'],'/rc/clk?jk=52742d507fd761e7&fccid=0a5e503bae42b78f'
