jobTitle,company,location,companyReviews,link,link_parameters
TB Prin. Data Scientist (I),Teradata,Sydney NSW,109,http://au.indeed.com/jobs?q=Machine+learning&start=10['/rc/clk?jk=62d32a14db49451b&fccid=ded9605952442cb4'],'/rc/clk?jk=62d32a14db49451b&fccid=ded9605952442cb4'
Senior Geomechanics Engineer,Wood,"Las Condes, Región Metropolitana",577,http://www.indeed.cl/trabajo?q=Data+Analysis&start=50['/rc/clk?jk=a58ac7d2eb82b850&fccid=022a1f0fd2bf3f85'],'/rc/clk?jk=a58ac7d2eb82b850&fccid=022a1f0fd2bf3f85'
Application Developer (Trainee),IBM,North-East Singapore,18926,http://www.indeed.com.sg/jobs?q=Data+Science&start=110['/rc/clk?jk=f6286f46d158ac52&fccid=de71a49b535e21cb'],'/rc/clk?jk=f6286f46d158ac52&fccid=de71a49b535e21cb'
Associate Sales Representative (Full Time) - Mexico,Cisco,"Ciudad de México, D. F.",3101,http://www.indeed.com.mx/trabajo?q=Data+Science&start=90['/rc/clk?jk=c9fb4191488c0497&fccid=dfc44f3b8c44a6db'],'/rc/clk?jk=c9fb4191488c0497&fccid=dfc44f3b8c44a6db'
WCA Cluster Finance Director,ALSTOM,"Buenos Aires, Buenos Aires",1748,http://ar.indeed.com/trabajo?q=Data+Analysis&start=90['/rc/clk?jk=d6d7d890e3dcaa9d&fccid=70bbeb2771f8c8e7'],'/rc/clk?jk=d6d7d890e3dcaa9d&fccid=70bbeb2771f8c8e7'
Data Center Manager - IT Consultancy,MichaelPage,Jakarta,163,http://id.indeed.com/lowongan-kerja?q=Big+Data&start=120['/rc/clk?jk=a252c93c565b2e40&fccid=77087bd1709a8148'],'/rc/clk?jk=a252c93c565b2e40&fccid=77087bd1709a8148'
Mathematical Modeling Data Scientist,OakRidgeAssociatedUniversities,"Research Triangle Park, NC",22,https://www.indeed.com/jobs?q=Machine+learning&start=90['/rc/clk?jk=e07fa42a234e794e&fccid=9ee66ada40315e6d'],'/rc/clk?jk=e07fa42a234e794e&fccid=9ee66ada40315e6d'
Professor of Marine Technology,AaltoUniversity,Helsinki,8,http://www.indeed.fi/jobs?q=Data+Analysis&start=120['/rc/clk?jk=f97990cff00d21ee&fccid=f1db145b9902b40f'],'/rc/clk?jk=f97990cff00d21ee&fccid=f1db145b9902b40f'
Associate Product Data Analyst,Eaton,"Pune, Maharashtra",2688,http://www.indeed.co.in/jobs?q=Data+Analysis&start=90['/rc/clk?jk=3e43495593448f95&fccid=87f38351bd29de24'],'/rc/clk?jk=3e43495593448f95&fccid=87f38351bd29de24'
Do Lab - Practica Estudiante 1er Semestre 2018,IBM,"Santiago de Chile, Región Metropolitana",18926,http://www.indeed.cl/trabajo?q=Big+Data&start=20['/rc/clk?jk=11bacf832820f7f8&fccid=de71a49b535e21cb'],'/rc/clk?jk=11bacf832820f7f8&fccid=de71a49b535e21cb'
Advanced Threat Analyst,CGI,"Ottawa, ON",1485,http://ca.indeed.com/jobs?q=Artificial+Intelligence&start=50['/rc/clk?jk=9e98df57e54c20ac&fccid=d2841a5c0380b93d'],'/rc/clk?jk=9e98df57e54c20ac&fccid=d2841a5c0380b93d'
SW Engineer with Spanish - Argentinian Market,GlobeTechnicalServicesLtd,Cork,13,http://ie.indeed.com/jobs?q=Machine+learning&start=120['/rc/clk?jk=f7949e7d8953f3a1&fccid=f53923f9aa1e3844'],'/rc/clk?jk=f7949e7d8953f3a1&fccid=f53923f9aa1e3844'
