jobTitle,company,location,companyReviews,link,link_parameters
2018 GDI&A Entry Level Data Scientist / Analyst,FordMotorCompany,"Dearborn, MI 48121",3780,https://www.indeed.com/jobs?q=Python+Data&start=90['/rc/clk?jk=0d320d8655c60b09&fccid=761c44c17d636bfe'],'/rc/clk?jk=0d320d8655c60b09&fccid=761c44c17d636bfe'
Supply Planning Specialist,DANONE,İstanbul,602,http://tr.indeed.com/jobs?q=Data+Analysis&start=120['/rc/clk?jk=9a86ee612034f540&fccid=1d449a8e14af7cf3'],'/rc/clk?jk=9a86ee612034f540&fccid=1d449a8e14af7cf3'
Big Data Engineer,UnitedAirlinesInc.,"Houston, TX 77002",1638,https://www.indeed.com/jobs?q=Big+Data&start=70['/rc/clk?jk=2628751708ab3857&fccid=e69f69636a9997cd'],'/rc/clk?jk=2628751708ab3857&fccid=e69f69636a9997cd'
Sr Procurement Specialist,Honeywell,"Ciudad de México, D. F.",5125,http://www.indeed.com.mx/trabajo?q=Data+Analysis&start=130['/rc/clk?jk=86b9c430a5ff5cd4&fccid=50208b5bf45ee3b8'],'/rc/clk?jk=86b9c430a5ff5cd4&fccid=50208b5bf45ee3b8'
Electrical Hardware Engineer,HewlettPackardEnterprise,台北市,2875,http://tw.indeed.com/jobs?q=Data+Analysis&start=140['/rc/clk?jk=7523806494365936&fccid=216eb700022de6f6'],'/rc/clk?jk=7523806494365936&fccid=216eb700022de6f6'
IT Quality Intermediate Analyst,Citi,上海市,11580,http://cn.indeed.com/%E5%B7%A5%E4%BD%9C?q=Python+Data&start=30['/rc/clk?jk=8d312634169fe948&fccid=5bcd1ef0a7f4fb99'],'/rc/clk?jk=8d312634169fe948&fccid=5bcd1ef0a7f4fb99'
Project Manager Lab Informatics (m/f),AgilentTechnologies,"Wien, W",442,http://at.indeed.com/Jobs?q=Data+Science&start=40['/rc/clk?jk=bc49697435d725e0&fccid=163c11f34750a7cd'],'/rc/clk?jk=bc49697435d725e0&fccid=163c11f34750a7cd'
Data Scientist,OutSystems,Lisboa,9,http://www.indeed.pt/ofertas?q=Python+Data&start=50['/rc/clk?jk=c944bf12c26979b5&fccid=2d27a79a723f85a0'],'/rc/clk?jk=c944bf12c26979b5&fccid=2d27a79a723f85a0'
Medical Science Liaison,Johnson&JohnsonFamilyofCompanies,İstanbul,2440,http://tr.indeed.com/jobs?q=Data+Science&start=80['/rc/clk?jk=b4c74a6fd14072e0&fccid=0bed8e17bc113980'],'/rc/clk?jk=b4c74a6fd14072e0&fccid=0bed8e17bc113980'
Human Resources Intern - HRBP Support (Pasante),SAP,"Buenos Aires, Buenos Aires",924,http://ar.indeed.com/trabajo?q=Data+Analysis&start=70['/rc/clk?jk=9b599a6bd0e7784d&fccid=156c7820d1988640'],'/rc/clk?jk=9b599a6bd0e7784d&fccid=156c7820d1988640'
Quality Auditor,MondelezInternational,"Ciudad de México, D. F.",1773,http://www.indeed.com.mx/trabajo?q=Data+Science&start=130['/rc/clk?jk=b1efc61f3e062e05&fccid=0ba2244fbaa16b6c'],'/rc/clk?jk=b1efc61f3e062e05&fccid=0ba2244fbaa16b6c'
SaaS Project Manager,MicroFocus,"San José, Provincia de San José",109,http://cr.indeed.com/trabajo?q=Data+Science&start=40['/rc/clk?jk=9ba52d06bc816265&fccid=83cbd453678ade10'],'/rc/clk?jk=9ba52d06bc816265&fccid=83cbd453678ade10'
Software Developer 2,Oracle,"Zürich, ZH",3276,http://www.indeed.ch/Stellen?q=Data+Analysis&start=100['/rc/clk?jk=b9d096b6dacd378f&fccid=cd22d01053af7669'],'/rc/clk?jk=b9d096b6dacd378f&fccid=cd22d01053af7669'
Estagiário (Big Data),Accenture,"São Paulo, SP",12041,http://www.indeed.com.br/empregos?q=Machine+learning&start=70['/rc/clk?jk=55163989fa281b30&fccid=a4e4e2eaf26690c9'],'/rc/clk?jk=55163989fa281b30&fccid=a4e4e2eaf26690c9'
Research Fellow in Gravitational Wave Astrophysics,MonashUniversity,Clayton VIC,63,http://au.indeed.com/jobs?q=Data+Analysis&start=100['/rc/clk?jk=c206f3036afa9a9e&fccid=32277d92eb8a3eca'],'/rc/clk?jk=c206f3036afa9a9e&fccid=32277d92eb8a3eca'
Cyber Security Pre-Sales & Consultant,Atos,"Zürich, ZH",1418,http://www.indeed.ch/Stellen?q=Big+Data&start=130['/rc/clk?jk=9b34a0615208ac12&fccid=ee6a99db163236c2'],'/rc/clk?jk=9b34a0615208ac12&fccid=ee6a99db163236c2'
