jobTitle,company,location,companyReviews,link,link_parameters
Scriptant Health IT Advisory,KPMG,Amstelveen,3817,http://www.indeed.nl/vacatures?q=Natural+Language+Processing&start=20['/rc/clk?jk=542b7569b7299eb0&fccid=2dd390c3a48a7ed0'],'/rc/clk?jk=542b7569b7299eb0&fccid=2dd390c3a48a7ed0'
Senior Financial Controller,RBS,"Warszawa, mazowieckie",2216,http://pl.indeed.com/praca?q=Data+Analysis&start=110['/rc/clk?jk=ab3c86cd0bc62253&fccid=1bfbda207c167e49'],'/rc/clk?jk=ab3c86cd0bc62253&fccid=1bfbda207c167e49'
DevOps Engineer,NOKIA,Budapest,2507,http://hu.indeed.com/jobs?q=Big+Data&start=140['/rc/clk?jk=042ace65693044a3&fccid=3444e7c94299ba32'],'/rc/clk?jk=042ace65693044a3&fccid=3444e7c94299ba32'
STAGE DATA SCIENTIST H/F,Showroomprive.com,Saint-Denis (93),26,http://www.indeed.fr/emplois?q=Python+Data&start=40['/rc/clk?jk=6995d75e75cdaec7&fccid=dac7f3f899228f1b'],'/rc/clk?jk=6995d75e75cdaec7&fccid=dac7f3f899228f1b'
IAAS Presales Consultant - MY,Oracle,Kuala Lumpur,3276,http://www.indeed.com.my/jobs?q=Python+Data&start=50['/rc/clk?jk=18b772ff2fc12a7e&fccid=cd22d01053af7669'],'/rc/clk?jk=18b772ff2fc12a7e&fccid=cd22d01053af7669'
Afstudeerstage Applied Innovation Exchange: Robotica,Capgemini,Utrecht,4916,http://www.indeed.nl/vacatures?q=Machine+learning&start=120['/rc/clk?jk=94ea2db22e533444&fccid=105ecfd0283f415f'],'/rc/clk?jk=94ea2db22e533444&fccid=105ecfd0283f415f'
ETL Developer,Cigna,"ปทุมวัน, กรุงเทพมหานคร",2638,http://th.indeed.com/%E0%B8%87%E0%B8%B2%E0%B8%99?q=Data+Science&start=30['/rc/clk?jk=afc857deb2789e39&fccid=afbf8c270610a38a'],'/rc/clk?jk=afc857deb2789e39&fccid=afbf8c270610a38a'
Data Warehouse Specialist,SouthAfricanReserveBank,"Pretoria, Gauteng",49,http://www.indeed.co.za/jobs?q=Python+Data&start=20['/rc/clk?jk=3ddfb0bc3de99bdf&fccid=5105fbf7e8fd8df7'],'/rc/clk?jk=3ddfb0bc3de99bdf&fccid=5105fbf7e8fd8df7'
KBC Stage 'VR UI Engineer' - voorjaar 2018,KBC,Flemish Brabant,19,http://be.indeed.com/jobs?q=Artificial+Intelligence&start=40['/rc/clk?jk=5693d0ebbf9de2dd&fccid=6022fc32ef3ba0c9'],'/rc/clk?jk=5693d0ebbf9de2dd&fccid=6022fc32ef3ba0c9'
SEM Analyst,Traveloka,กรุงเทพมหานคร,4,http://th.indeed.com/%E0%B8%87%E0%B8%B2%E0%B8%99?q=Big+Data&start=140['/rc/clk?jk=f8df0c10ed203ca3&fccid=3de05aadd53064ae'],'/rc/clk?jk=f8df0c10ed203ca3&fccid=3de05aadd53064ae'
