jobTitle,company,location,companyReviews,link,link_parameters
R&D Engineer - Test Engineer,ABB,"Kraków, małopolskie",2116,http://pl.indeed.com/praca?q=Data+Science&start=40['/rc/clk?jk=a6a1e882ebc99eba&fccid=38b4474838e7b7a1'],'/rc/clk?jk=a6a1e882ebc99eba&fccid=38b4474838e7b7a1'
"Business Development Manager, Sales, Google Marketing Solutions",Google,서울,1897,http://kr.indeed.com/%EC%B7%A8%EC%97%85?q=Data+Analysis&start=100['/rc/clk?jk=ff586827671b87f5&fccid=a5b4499d9e91a5c6'],'/rc/clk?jk=ff586827671b87f5&fccid=a5b4499d9e91a5c6'
DevOps Engineer,ExxonMobil,"Buenos Aires, Buenos Aires",1521,http://ar.indeed.com/trabajo?q=Python+Data&start=20['/rc/clk?jk=ee27c41ba07fe93f&fccid=1ddb91d85c72e885'],'/rc/clk?jk=ee27c41ba07fe93f&fccid=1ddb91d85c72e885'
Automated Driving- Machine Learning Engineer,Bosch,Budapest,2532,http://hu.indeed.com/jobs?q=Machine+learning&start=10['/rc/clk?jk=69003f293dc0fa19&fccid=a2faf1301ac6ad4b'],'/rc/clk?jk=69003f293dc0fa19&fccid=a2faf1301ac6ad4b'
Consultant,Microsoft,"Ciudad de México, D. F.",3736,http://www.indeed.com.mx/trabajo?q=Big+Data&start=50['/rc/clk?jk=f39143f779571f34&fccid=734cb5a01ee60f80'],'/rc/clk?jk=f39143f779571f34&fccid=734cb5a01ee60f80'
Data Scientist,Icertis,"Pune, Maharashtra",3,http://www.indeed.co.in/jobs?q=Python+Data&start=110['/rc/clk?jk=7205f493c555cb31&fccid=dfd806b233bf9196'],'/rc/clk?jk=7205f493c555cb31&fccid=dfd806b233bf9196'
Engineers,TaylorandFrancisGroup,Karachi,7,http://www.indeed.com.pk/jobs?q=Machine+learning&start=10['/rc/clk?jk=3ebeb8105b5f349b&fccid=970c81ac4b570be9'],'/rc/clk?jk=3ebeb8105b5f349b&fccid=970c81ac4b570be9'
"AVP, Business intelligence/ CRM Analytics, Banking",Ambition,Hong Kong,8,http://www.indeed.hk/jobs?q=Big+Data&start=140['/rc/clk?jk=b2658b90ef8ecd82&fccid=c9cd3dc1c74035d6'],'/rc/clk?jk=b2658b90ef8ecd82&fccid=c9cd3dc1c74035d6'
QA & Testing Analyst,DeutscheBank,București,1819,http://ro.indeed.com/jobs?q=Data+Analysis&start=80['/rc/clk?jk=4667f38adc91b7ce&fccid=f1d8e147024abb3f'],'/rc/clk?jk=4667f38adc91b7ce&fccid=f1d8e147024abb3f'
Technologies Manager,"Amdocs,Inc.",Manila,742,http://www.indeed.com.ph/jobs?q=Big+Data&start=90['/rc/clk?jk=6615fad2dcbe754f&fccid=3b6bf500a6749588'],'/rc/clk?jk=6615fad2dcbe754f&fccid=3b6bf500a6749588'
