jobTitle,company,location,companyReviews,link,link_parameters
Software Engineer – Java Development – Corporate & Investment Banking,JPMorganChase,London EC1M,15476,https://www.indeed.co.uk/jobs?q=Big+Data&start=80['/rc/clk?jk=d5ee7c89a5b31874&fccid=c46d0116f6e69eae'],'/rc/clk?jk=d5ee7c89a5b31874&fccid=c46d0116f6e69eae'
"VP, Engineering",Nitro,Dublin,10,http://ie.indeed.com/jobs?q=Artificial+Intelligence&start=10['/rc/clk?jk=3468267e9c9e0a23&fccid=b801548a8e6866f5'],'/rc/clk?jk=3468267e9c9e0a23&fccid=b801548a8e6866f5'
Project Manager,InnerWorkings,"Santiago de Chile, Región Metropolitana",39,http://www.indeed.cl/trabajo?q=Data+Analysis&start=20['/rc/clk?jk=6ecb4c0178f72485&fccid=5d81d80528a0ddda'],'/rc/clk?jk=6ecb4c0178f72485&fccid=5d81d80528a0ddda'
Risk & Compliance - Data Analyst (full english),EvalueserveS.A.,"Valparaíso, Valparaíso",136,http://www.indeed.cl/trabajo?q=Python+Data&start=20['/rc/clk?jk=360f2a359bd52ac1&fccid=e47b99270f9cbc59'],'/rc/clk?jk=360f2a359bd52ac1&fccid=e47b99270f9cbc59'
Pricing Analyst,EXPERIAN,Cyberjaya,705,http://www.indeed.com.my/jobs?q=Data+Analysis&start=50['/rc/clk?jk=d2e62ca11ca45f33&fccid=75a3a5a15b202084'],'/rc/clk?jk=d2e62ca11ca45f33&fccid=75a3a5a15b202084'
Integration Manager (Digital Enterprise),Luxoft,Москва,36,http://ru.indeed.com/jobs?q=Big+Data&start=80['/rc/clk?jk=3e1f6e01a4c6b9e6&fccid=4b841d912d46e4fd'],'/rc/clk?jk=3e1f6e01a4c6b9e6&fccid=4b841d912d46e4fd'
R&D Engineer - Artificial Intelligence / Data Science / NLP,Digimind,Paris (75),4,http://www.indeed.fr/emplois?q=Artificial+Intelligence&start=70['/rc/clk?jk=e3e56991a0359ef2&fccid=1b77784432e26994'],'/rc/clk?jk=e3e56991a0359ef2&fccid=1b77784432e26994'
Operations Admin Assistant,"MarriottInternational,Inc",Dubai,14685,http://www.indeed.ae/jobs?q=Machine+learning&start=10['/rc/clk?jk=846f6bc2c18d30c5&fccid=d47acb5b5596d9e4'],'/rc/clk?jk=846f6bc2c18d30c5&fccid=d47acb5b5596d9e4'
Consultant(e) Junior - Asset Management/Private Banking,SiaPartners,Luxembourg,6,http://www.indeed.lu/jobs?q=Big+Data&start=20['/rc/clk?jk=fc686438d00d1eb7&fccid=4b32d0c68d487097'],'/rc/clk?jk=fc686438d00d1eb7&fccid=4b32d0c68d487097'
Developer_Model Development_Retail Analytics,Citi,"Chennai, Tamil Nadu",11580,http://www.indeed.co.in/jobs?q=Natural+Language+Processing&start=80['/rc/clk?jk=f5aa70f6c7825521&fccid=5bcd1ef0a7f4fb99'],'/rc/clk?jk=f5aa70f6c7825521&fccid=5bcd1ef0a7f4fb99'
Data Analyst / Data Scientist,UBS,"Kraków, małopolskie",1386,http://pl.indeed.com/praca?q=Python+Data&start=40['/rc/clk?jk=31170a676cc3d712&fccid=1c76c3a36f6c7557'],'/rc/clk?jk=31170a676cc3d712&fccid=1c76c3a36f6c7557'
Junior Security Vulnerability & Remediation Manager (m/f),SiemensAG,Lisboa,5458,http://www.indeed.pt/ofertas?q=Python+Data&start=80['/rc/clk?jk=7200e6ca90100455&fccid=3b89b9ec324f96c8'],'/rc/clk?jk=7200e6ca90100455&fccid=3b89b9ec324f96c8'
KBC Data Steward,KBC,Flemish Brabant,19,http://be.indeed.com/jobs?q=Python+Data&start=70['/rc/clk?jk=1db9810a1c173d2f&fccid=6022fc32ef3ba0c9'],'/rc/clk?jk=1db9810a1c173d2f&fccid=6022fc32ef3ba0c9'
Software Engineer- AI Platform,Twitter,"San Francisco, CA 94103",48,https://www.indeed.com/jobs?q=Machine+learning&start=20['/rc/clk?jk=4d03d4fcaa45d533&fccid=7a3824693ee1074b'],'/rc/clk?jk=4d03d4fcaa45d533&fccid=7a3824693ee1074b'
Penetration Testing Specialist - Dell SecureWorks - Bucharest. Romania,DELL,București,6142,http://ro.indeed.com/jobs?q=Data+Science&start=120['/rc/clk?jk=a745b440452c5786&fccid=0918a251e6902f97'],'/rc/clk?jk=a745b440452c5786&fccid=0918a251e6902f97'
NOC Technician (PH),RiotGames,Manila,20,http://www.indeed.com.ph/jobs?q=Data+Science&start=80['/rc/clk?jk=b5e528c21e228e11&fccid=aac555fbdb7c8e71'],'/rc/clk?jk=b5e528c21e228e11&fccid=aac555fbdb7c8e71'
Operations Graduate Program - Logistics Engineer,VolvoGroup,Ghent,1622,http://be.indeed.com/jobs?q=Data+Science&start=60['/rc/clk?jk=42615aa13c364e8a&fccid=0f63e537c80f169b'],'/rc/clk?jk=42615aa13c364e8a&fccid=0f63e537c80f169b'
Network Engineer,Google,Dublin,1897,http://ie.indeed.com/jobs?q=Python+Data&start=90['/rc/clk?jk=ba5020f206db59e9&fccid=a5b4499d9e91a5c6'],'/rc/clk?jk=ba5020f206db59e9&fccid=a5b4499d9e91a5c6'
COMPUTER VISION SPECIALIST,Manpower,Praha,11644,http://cz.indeed.com/jobs?q=Machine+learning&start=80['/rc/clk?jk=5d9a96296c4796cf&fccid=1a17983a910f73d8'],'/rc/clk?jk=5d9a96296c4796cf&fccid=1a17983a910f73d8'
Consultant,DuPont,"Madrid, Madrid",791,http://www.indeed.es/ofertas?q=Data+Science&start=80['/rc/clk?jk=2e201ffa059ba9d2&fccid=76bce720eab9a7b0'],'/rc/clk?jk=2e201ffa059ba9d2&fccid=76bce720eab9a7b0'
Cadet Engineer - New Product Development,Littelfuse,Lipa,39,http://www.indeed.com.ph/jobs?q=Data+Analysis&start=60['/rc/clk?jk=8802cbcce8f643e9&fccid=95cdfb46304a52f6'],'/rc/clk?jk=8802cbcce8f643e9&fccid=95cdfb46304a52f6'
Pharmaceutical Risk Analyst (Latin America Region) - VIE Contract (W/M),Sanofi,"São Paulo, SP",2242,http://www.indeed.com.br/empregos?q=Data+Science&start=140['/rc/clk?jk=b45c93fe0b5c7eb0&fccid=5d3ed74ca4598964'],'/rc/clk?jk=b45c93fe0b5c7eb0&fccid=5d3ed74ca4598964'
"Chief Child Survival Early Development, P5, Cairo, Egypt, (Internationals only)",UnitedNationsChildren'sFund(UNICEF),Cairo,15,http://eg.indeed.com/%D9%88%D8%B8%D8%A7%D8%A6%D9%81?q=Natural+Language+Processing&start=10['/rc/clk?jk=2c90e20144ea322b&fccid=2531092897045bbf'],'/rc/clk?jk=2c90e20144ea322b&fccid=2531092897045bbf'
Spanish Customer Service Intern,GE,Budapest,3690,http://hu.indeed.com/jobs?q=Data+Analysis&start=90['/rc/clk?jk=8bb6f0b3cf547db9&fccid=c5c99ec01e2125aa'],'/rc/clk?jk=8bb6f0b3cf547db9&fccid=c5c99ec01e2125aa'
Data Scientist,ThoughtWorks,"Gurgaon District, Haryana",52,http://www.indeed.co.in/jobs?q=Python+Data&start=50['/rc/clk?jk=871e83df5a0f1d89&fccid=3c650abdba68c61a'],'/rc/clk?jk=871e83df5a0f1d89&fccid=3c650abdba68c61a'
Compensation Specialist,MondelezInternational,"San José, Provincia de San José",1773,http://cr.indeed.com/trabajo?q=Data+Analysis&start=110['/rc/clk?jk=7ae29eb75c0eaf18&fccid=0ba2244fbaa16b6c'],'/rc/clk?jk=7ae29eb75c0eaf18&fccid=0ba2244fbaa16b6c'
Business Intelligence Tester,Sogeti,Nederland,20,http://www.indeed.nl/vacatures?q=Big+Data&start=20['/rc/clk?jk=bf6894198696c09d&fccid=6eb97fc774cb61be'],'/rc/clk?jk=bf6894198696c09d&fccid=6eb97fc774cb61be'
Forensics Consultant,PwC,Brussels,4727,http://be.indeed.com/jobs?q=Artificial+Intelligence&start=20['/rc/clk?jk=8d653eee86ba9eec&fccid=5e964c4afc56b180'],'/rc/clk?jk=8d653eee86ba9eec&fccid=5e964c4afc56b180'
Test Engineer II,JabilCircuit,"Guadalajara, Jal.",1782,http://www.indeed.com.mx/trabajo?q=Data+Science&start=140['/rc/clk?jk=bb48cd2b901cdd70&fccid=06511673a4571c02'],'/rc/clk?jk=bb48cd2b901cdd70&fccid=06511673a4571c02'
"Summer Trainee Engineering Program, STEP 2018",Google,Dublin,1897,http://ie.indeed.com/jobs?q=Python+Data&start=20['/rc/clk?jk=2a730a11529fd2e8&fccid=a5b4499d9e91a5c6'],'/rc/clk?jk=2a730a11529fd2e8&fccid=a5b4499d9e91a5c6'
"Software Engineer, Search Ranking",Facebook,"Menlo Park, CA",223,https://www.indeed.com/jobs?q=Artificial+Intelligence&start=100['/rc/clk?jk=f4fd968bea8e47b1&fccid=1639254ea84748b5'],'/rc/clk?jk=f4fd968bea8e47b1&fccid=1639254ea84748b5'
Actuarial Services Manager (Life),EY,"Johannesburg, Gauteng",4101,http://www.indeed.co.za/jobs?q=Big+Data&start=50['/rc/clk?jk=f5d599f4863e1a18&fccid=1544766d4c2915b0'],'/rc/clk?jk=f5d599f4863e1a18&fccid=1544766d4c2915b0'
Senior Consultant (Data Management Practice) - Informatica,Techaccess,Dubai,3,http://www.indeed.ae/jobs?q=Big+Data&start=20['/rc/clk?jk=5206fc7f207d4eb5&fccid=0d170d60488a8c3c'],'/rc/clk?jk=5206fc7f207d4eb5&fccid=0d170d60488a8c3c'
Software Engineer - In-Memory Storage Systems,Amazon.com,"Vancouver, BC",19881,http://ca.indeed.com/jobs?q=Artificial+Intelligence&start=10['/rc/clk?jk=7bdc0cf1fcf20af1&fccid=fe2d21eef233e94a'],'/rc/clk?jk=7bdc0cf1fcf20af1&fccid=fe2d21eef233e94a'
